FIRM,Class,Start,End,TOD,FIRMF,Length,Night,Gap,WS,Idx,Base,StartAdj,LenAdj,Comp,Trans,Press,P1S,P1L,P2S,P2L,MalAdj,NFZ,WNFZ,AFZ,WAFZ,MFZ,WMFZ,NBad,TIW,RIW,HIW,SIW,CCW
-3,0,170,680,-1,-3,510,0,750,0,5,6.00,-5.00,0.00,0.00,-1.00,-3.33,0,509,0,765,0,0,1,0,0,0,0,0,2269,1,0,3,2.00
5,0,920,1295,-1,5,375,0,855,0,2,6.00,0.00,0.00,0.00,0.00,-0.67,5,465,-7,360,1,0,0,0,1,0,0,0,465,0,0,1,1.00
1,1,1130,1865,1470,-2,735,0,999,0,5,6.00,0.00,0.00,0.00,-2.00,-3.33,-1,720,0,570,1,0,1,0,0,0,0,0,2855,2,0,5,0.00
4,0,670,1265,-1,4,595,0,605,0,2,6.00,0.00,0.00,-0.75,-1.00,-0.67,4,675,1,650,0,0,0,0,1,0,0,0,1325,0,0,2,1.50
3,0,330,1049,-1,3,719,0,999,1,1,6.00,-3.50,0.00,0.00,0.00,0.00,0,430,1,194,1,0,0,0,1,0,1,0,2434,2,0,4,0.00
-8,1,1130,1865,1470,-10,735,0,999,0,9,6.00,0.00,0.00,0.00,-4.00,-9.83,-9,720,-7,570,1,0,1,0,0,0,0,0,2959,2,2,4,0.00
3,0,385,685,-1,3,300,0,999,0,2,6.00,-1.50,0.00,0.00,-1.00,-0.67,2,520,11,0,0,0,0,0,0,0,1,0,520,1,0,1,0.00
-7,0,701,1105,-1,-7,404,0,886,0,11,6.00,0.00,0.00,0.00,-3.00,-9.67,-5,315,-4,163,1,0,0,0,1,0,0,0,2653,2,6,5,4.50
5,0,745,1180,-1,5,435,0,999,0,2,6.00,0.00,0.00,0.00,0.00,-0.67,5,380,-10,455,1,0,0,0,1,0,0,0,1245,0,2,2,0.00
-2,2,1135,2005,1470,-8,870,0,885,0,8,6.00,0.00,0.00,0.00,-2.00,-5.83,-3,410,3,430,1,0,1,0,0,0,0,0,2845,2,1,5,3.00
5,0,865,1495,-1,5,630,0,999,1,1,6.00,0.00,0.00,0.00,0.00,0.00,11,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00
1,0,1060,1720,-1,1,660,1,999,0,2,3.00,0.00,0.00,0.00,-1.00,-1.00,5,585,-1,645,1,0,1,0,0,0,0,0,3528,3,1,7,5.00
4,0,380,800,-1,4,420,0,999,0,2,6.00,-1.75,0.00,0.00,0.00,-0.67,2,460,3,525,1,0,0,0,0,0,1,0,1570,1,0,3,0.00
-1,2,1135,2020,1470,-7,885,0,885,0,6,6.00,0.00,0.00,0.00,-2.00,-4.67,-2,410,-1,465,1,0,1,0,0,0,0,0,2084,2,1,3,2.50
5,0,1125,1425,-1,5,300,0,999,1,1,6.00,0.00,0.00,0.00,0.00,0.00,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
4,1,870,2070,1470,-8,1200,0,975,0,4,6.00,0.00,0.00,0.00,0.00,-2.00,4,670,5,350,1,0,1,0,1,0,0,0,3225,0,0,4,1.00
5,0,1075,1575,-1,5,500,0,999,0,2,6.00,0.00,0.00,0.00,0.00,-0.67,5,385,0,610,0,0,0,0,0,0,0,0,2399,0,0,3,0.00
-2,0,1265,1695,-1,-2,430,1,999,0,4,3.00,0.00,0.00,0.00,-2.00,-2.67,3,600,2,615,1,0,1,0,0,0,0,0,3215,1,0,5,0.00
5,1,870,2070,1470,-7,1200,0,975,0,2,6.00,0.00,0.00,0.00,0.00,-0.67,4,670,-3,670,1,0,1,0,1,0,0,0,2894,0,1,5,0.00
2,0,1410,2095,-1,2,685,1,999,0,2,3.00,0.00,0.00,0.00,0.00,-1.00,2,490,2,570,0,0,1,0,0,0,0,0,1705,0,0,2,0.00
2,0,65,750,-1,2,685,1,999,1,1,3.00,0.00,0.00,0.00,-1.00,0.00,5,525,5,465,1,0,1,0,0,0,0,0,1940,0,0,4,0.00
5,1,865,1670,1470,0,805,0,999,0,2,6.00,0.00,0.00,0.00,0.00,-0.67,5,475,3,510,1,0,1,0,1,0,0,0,475,0,0,1,0.00
